"period_end_date","2016-12","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"debt_to_assets","0.01","","0.01","","","0.02","0.02","0.02","0.02","0.02","0.08","0.07000000000000001","0.05","0.04","0.03","0.02","0.03","0.02","0.03","0.03","0.03","0.04"
"revenue_per_share","","","0.3","0.09","0.09","0.11","0.1","0.04","0.03","0.04","0.03","0.01","0.08","0.03","0.58","4.05","9.779999999999999","11.13","16.12","13.94","10.9","7.82"
"ebitda_per_share","","","-0.12","-0.24","-0.31","-0.24","-0.44","-0.41","-0.41","-0.37","-0.36","-0.35","-0.3","-0.57","-0.68","2.98","7.26","8.359999999999999","12.73","10.11","6.02","3.1"
"operating_income_per_share","","","-0.14","-0.26","-0.33","-0.26","-0.47","-0.43","-0.44","-0.4","-0.39","-0.37","-0.32","-0.59","-0.6899999999999999","2.94","7.1","8.199999999999999","12.55","9.92","5.84","2.83"
"pretax_income_per_share","","","-0.13","-0.24","-0.3","-0.25","-0.43","-0.4","-0.41","-0.37","-0.37","-0.35","-0.31","-0.59","-0.68","2.93","7.11","8.18","12.55","9.93","5.9","2.95"
"fcf_per_share","","","-0.39","-0.48","-0.28","-0.33","-0.32","-0.46","-0.36","-0.34","-0.32","-0.32","-0.11","2.21","3.13","6.83","9.359999999999999","7.32","7.4","6.18","0.52","0.4"
"book_value_per_share","-1.13","","-1.86","","","3.32","4.65","4.4","4.07","3.78","3.5","4.65","7.73","6.99","6.47","8.93","15.55","23.33","32.82","40.08","42.92","43.67"
"tangible_book_per_share","-1.13","","-1.86","","","3.32","4.65","4.4","4.07","3.78","3.5","4.65","7.73","6.99","6.47","8.93","15.55","23.33","32.82","40.08","42.92","43.67"
"payout_ratio","","","","","","","","","","","","","","","","","","","","","",""
"revenue_growth","","","","-0.6899999999999999","","","-0.63","-0.49","-0.61","-0.64","-0.68","-0.72","1.89","-0.1","20.77","434.75","144.34","401.42","29.34","2.41","0.08","-0.33"
"gross_profit_growth","","","","-0.6899999999999999","","","-0.63","-0.49","-0.61","-0.64","-0.68","-0.72","1.89","-0.1","20.01","386.5","118.48","341.25","26.14","2.18","-0.08","-0.48"
"ebitda_growth","","","","-1.01","","","-3.06","-0.86","-0.49","-0.5600000000000001","0.17","0.08","0.16","-0.83","-1.22","11.33","28.46","17.05","21.48","2.36","-0.19","-0.65"
"operating_income_growth","","","","-0.85","","","-2.66","-0.83","-0.48","-0.52","0.15","0.08","0.15","-0.8","-1.12","10.66","26.1","16.14","20.67","2.34","-0.2","-0.67"
"pretax_income_growth","","","","-0.9","","","-2.71","-0.83","-0.5","-0.54","0.12","0.06","0.14","-0.88","-1.19","11.16","27.18","16.31","20.96","2.36","-0.19","-0.66"
"net_income_growth","","","","-0.91","","","-2.73","-0.83","-0.49","-0.53","0.13","0.06","0.13","-0.89","-1.21","10.85","24.76","15.3","18.83","2","-0.21","-0.6899999999999999"
"eps_diluted_growth","","1","","-0.83","0.63","","-2.07","-0.5600000000000001","-0.29","-0.37","0.14","0.13","0.24","-0.59","-0.86","9.109999999999999","21.84","14.05","17.36","2.02","-0.19","-0.67"
"shares_diluted_growth","","","","","","0.09","0.11","0.11","0.11","0.02","0.02","0.07000000000000001","0.16","0.19","0.18","0.22","0.13","0.1","0.09","-0.01","-0.03","-0.05"
