Date,Open,High,Low,Close,Adj Close,Volume
2020-05-19,35.910816,36.072105,35.398483,35.749527,32.942791,19476234
2020-05-20,36.005692,36.242886,35.626186,35.702087,32.899071,17504200
2020-05-21,35.645161,35.721062,35.151802,35.351044,32.575584,17652181
2020-05-22,35.208729,35.607212,35.066414,35.578747,32.785412,15781226
2020-05-26,35.721062,35.929790,35.531307,35.569260,32.776672,23260094
2020-05-27,35.493359,35.616699,35.075901,35.493359,32.706726,25904158
2020-05-28,35.901329,36.470589,35.787476,36.223907,33.379929,22521767
2020-05-29,36.309299,36.461102,35.654648,36.233398,33.388676,48333067
2020-06-01,33.681213,33.899429,33.121441,33.643265,31.001892,76884979
2020-06-02,33.709679,34.307400,33.444023,34.307400,31.613888,42690900
2020-06-03,34.430740,34.544594,33.719166,34.307400,31.613888,38751996
2020-06-04,33.880455,34.430740,33.870968,34.165085,31.482737,27013388
2020-06-05,34.383301,34.620495,34.041744,34.146111,31.465256,36705655
2020-06-08,33.965843,34.724857,33.851994,34.715370,31.989824,30194149
2020-06-09,34.629982,34.781784,34.316887,34.354839,31.657591,21675088
2020-06-10,34.497154,34.582542,34.051231,34.079697,31.404058,29557217
2020-06-11,33.776093,33.851994,31.574953,31.593927,29.113447,63166642
2020-06-12,32.333965,32.352940,31.356735,32.020874,29.506872,37902472
2020-06-15,31.593927,31.992411,31.081594,31.650854,29.165905,36247482
2020-06-16,31.869070,32.220116,31.043644,31.688805,29.200876,55616945
2020-06-17,31.869070,32.039848,31.612904,31.840607,29.340759,27509822
2020-06-18,31.565466,31.755219,31.290323,31.537003,29.060991,32278855
2020-06-19,31.963947,32.011387,31.423149,31.707781,29.218361,43986266
2020-06-22,31.622391,31.650854,31.223909,31.413662,28.947332,23332503
2020-06-23,31.499050,31.546490,31.062618,31.091082,28.650080,37690408
2020-06-24,31.034157,31.053131,30.360531,30.540796,28.142998,30817695
2020-06-25,30.464895,30.721064,30.199242,30.664137,28.256653,27418651
2020-06-26,30.597723,30.626186,29.990513,30.398481,28.011856,42153992
2020-06-29,30.796965,30.996204,30.550285,30.967743,28.536428,23956261
2020-06-30,30.863379,31.195446,30.578749,31.024668,28.588881,25451676
2020-07-01,32.770397,32.770397,31.992411,32.011387,29.498133,73503009
2020-07-02,32.846298,33.064514,32.296017,32.741936,30.171324,45270881
2020-07-06,33.159393,33.197342,32.618595,32.741936,30.171324,27150935
2020-07-07,32.305504,32.590134,32.220116,32.286530,29.751675,25148018
2020-07-08,32.267551,32.609108,31.850096,32.020874,29.506872,24256545
2020-07-09,32.001900,32.144215,31.404175,31.745731,29.253332,20363702
2020-07-10,31.935484,32.296017,31.774195,32.096775,29.576815,24459019
2020-07-13,32.950665,33.889942,32.751423,33.406071,30.783314,56569129
2020-07-14,33.557877,33.605312,33.092979,33.425049,30.800806,32854129
2020-07-15,34.146111,34.155598,33.652752,33.889942,31.229197,26294454
2020-07-16,33.776093,33.814041,33.453510,33.776093,31.124290,18421812
2020-07-17,34.022770,34.468693,33.899429,34.392788,31.692562,23347365
2020-07-20,35.569260,35.692600,34.459202,34.629982,31.911142,36815693
2020-07-21,35.047440,35.180267,34.648956,34.810246,32.077248,23588520
2020-07-22,36.271347,36.745731,35.597721,36.584438,33.712143,90705554
2020-07-23,37.220116,37.400379,36.223907,36.442123,33.581009,59639536
2020-07-24,36.081593,36.195446,35.417458,35.730549,32.925301,33870501
2020-07-27,35.445919,35.815941,35.322582,35.616699,32.820385,27640307
2020-07-28,36.565464,37.324478,36.110058,37.020874,34.114323,56393954
2020-07-29,37.286530,37.428844,36.480076,37.248577,34.324142,37033660
2020-07-30,36.318787,36.944973,36.242886,36.755219,34.200550,32273796
